Section,Short_title,Content
มาตรา 420,หลักทั่วไปของการทำละเมิด,ผู้ใดจงใจหรือประมาทเลินเล่อ ทำต่อบุคคลอื่นโดยผิดกฎหมายให้เขาเสียหายถึงแก่ชีวิตก็ดี แก่ร่างกายก็ดี อนามัยก็ดี เสรีภาพก็ดี ทรัพย์สินหรือสิทธิอย่างหนึ่งอย่างใดก็ดี ท่านว่าผู้นั้นทำละเมิดจำต้องใช้ค่าสินไหมทดแทนเพื่อการนั้น
มาตรา 423,การไขข่าวแพร่หลายอันฝ่าฝืนต่อความจริง,ผู้ใดกล่าวหรือไขข่าวแพร่หลายซึ่งข้อความอันฝ่าฝืนต่อความจริง เป็นที่เสียหายแก่ชื่อเสียงหรือเกียรติคุณของบุคคลอื่นก็ดี หรือเป็นที่เสียหายแก่ทางทำมาหาได้หรือทางเจริญของเขาโดยประการอื่นก็ดี ท่านว่าผู้นั้นจะต้องใช้ค่าสินไหมทดแทนให้แก่เขาเพื่อความเสียหายอย่างใดๆ อันเกิดแต่การนั้น แม้ทั้งเมื่อตนมิได้รู้ว่าข้อความนั้นไม่จริง แต่หากควรจะรู้ได้
มาตรา 428,ความรับผิดของผู้ว่าจ้างทำของ,ผู้ว่าจ้างทำของไม่ต้องรับผิดเพื่อความเสียหายอันผู้รับจ้างได้ก่อให้เกิดขึ้นแก่บุคคลภายนอกในระหว่างทำการงานที่ว่าจ้าง เว้นแต่ผู้ว่าจ้างจะเป็นผู้ผิดในส่วนงานที่สั่งให้ทำ หรือในคำสั่งที่ตนได้ให้ไว้ หรือในการเลือกหาผู้รับจ้าง
มาตรา 432,ความรับผิดของบุคคลหลายคนร่วมกันทำละเมิด,ถ้าบุคคลหลายคนร่วมกันทำละเมิด ท่านว่าบุคคลเหล่านั้นจะต้องรับผิดร่วมกันในผลแห่งเสียหาย ความข้อนี้ให้ใช้บังคับตลอดถึงบุคคลผู้ยุยงส่งเสริมหรือช่วยเหลือในการทำละเมิดนั้นด้วย
มาตรา 425,นายจ้างร่วมรับผิดกับลูกจ้างในทางการที่จ้าง,นายจ้างต้องร่วมกันรับผิดกับลูกจ้างในผลแห่งละเมิด ซึ่งลูกจ้างได้กระทำไปในทางการที่จ้างนั้น
มาตรา 426,สิทธิไล่เบี้ยของนายจ้างต่อลูกจ้าง,นายจ้างซึ่งได้ใช้ค่าสินไหมทดแทนให้แก่บุคคลภายนอกเพื่อละเมิดอันลูกจ้างได้ทำนั้น ชอบที่จะได้ชดใช้จากลูกจ้างนั้น
มาตรา 427,การนำความรับผิดของนายจ้างมาใช้กับตัวการตัวแทน,บทบัญญัติในมาตราทั้งสองก่อนนั้น ท่านให้ใช้บังคับแก่ตัวการและตัวแทนด้วยโดยอนุโลม
มาตรา 429,ความรับผิดของผู้เยาว์หรือวิกลจริตและบิดามารดา,บุคคลใดแม้ไร้ความสามารถเพราะเหตุเป็นผู้เยาว์หรือวิกลจริต ก็ยังต้องรับผิดในผลแห่งละเมิดซึ่งตนได้กระทำ บิดามารดาหรือผู้อนุบาลของบุคคลเช่นว่านี้ย่อมต้องรับผิดร่วมกับเขาด้วย เว้นแต่จะพิสูจน์ได้ว่าตนได้ใช้ความระมัดระวังตามสมควรแก่หน้าที่ดูแลระแวดระวังอยู่แล้ว
มาตรา 430,ความรับผิดของผู้รับดูแลบุคคลไร้ความสามารถ,ครูบาอาจารย์ นายจ้าง หรือบุคคลอื่นซึ่งรับดูแลบุคคลผู้ไร้ความสามารถอยู่เป็นนิตย์ก็ดี ชั่วคราวก็ดี จำต้องรับผิดร่วมกับผู้ไร้ความสามารถในผลแห่งละเมิดซึ่งผู้ไร้ความสามารถได้กระทำลงในระหว่างที่อยู่ในความดูแลของตน ถ้าพิสูจน์ได้ว่าบุคคลนั้นๆ มิได้ใช้ความระมัดระวังตามสมควร
มาตรา 433,ความรับผิดเกี่ยวกับความเสียหายที่เกิดจากสัตว์,ถ้าความเสียหายเกิดขึ้นเพราะสัตว์ ท่านว่าเจ้าของสัตว์หรือบุคคลผู้รับเลี้ยงรับรักษาไว้แทนเจ้าของ จำต้องใช้ค่าสินไหมทดแทนให้แก่ฝ่ายที่ต้องเสียหายเพื่อความเสียหายอย่างใดๆ อันเกิดแต่สัตว์นั้น เว้นแต่จะพิสูจน์ได้ว่าตนได้ใช้ความระมัดระวังอันสมควรแก่การเลี้ยงการรักษาตามชนิดและวิสัยของสัตว์หรือตามพฤติการณ์อย่างอื่น หรือพิสูจน์ได้ว่าความเสียหายนั้นย่อมจะต้องเกิดมีขึ้นทั้งที่ได้ใช้ความระมัดระวังอันสมควรแล้ว
มาตรา 434,ความรับผิดเนื่องจากโรงเรือนหรือสิ่งปลูกสร้างชำรุด,ถ้าความเสียหายเกิดขึ้นเพราะเหตุที่โรงเรือนหรือสิ่งปลูกสร้างอย่างอื่นก่อสร้างไว้ชำรุดบกพร่องก็ดี หรือบำรุงรักษาไม่เพียงพอก็ดี ท่านว่าผู้ครองโรงเรือนหรือสิ่งปลูกสร้างนั้นๆ จำต้องใช้ค่าสินไหมทดแทน แต่ถ้าผู้ครองได้ใช้ความระมัดระวังตามสมควรเพื่อปัดป้องมิให้เกิดเสียหายแล้ว ท่านว่าเจ้าของจำต้องใช้ค่าสินไหมทดแทน
มาตรา 435,สิทธิเรียกให้ปัดป้องภยันตรายจากสิ่งปลูกสร้างผู้อื่น,บุคคลใดจะประสบความเสียหายอันพึงเกิดจากโรงเรือนหรือสิ่งปลูกสร้างอย่างอื่นของผู้อื่น บุคคลผู้นั้นชอบที่จะเรียกให้จัดการตามที่จำเป็นเพื่อบำบัดปัดป้องภยันตรายนั้นเสียได้
มาตรา 436,ความรับผิดของผู้อยู่อาศัยในโรงเรือนกรณีของตกหล่น,บุคคลผู้อยู่ในโรงเรือนต้องรับผิดชอบในความเสียหายอันเกิดเพราะของตกหล่นจากโรงเรือนนั้น หรือเพราะทิ้งขว้างของไปตกในที่อันมิควร
