Section,Short_Title,Content
มาตรา 1,นิยามศัพท์กฎหมายอาญา,ในประมวลกฎหมายนี้ (1) 'โดยทุจริต' หมายความว่า เพื่อแสวงหาประโยชน์ที่มิควรได้โดยชอบด้วยกฎหมายสำหรับตนเองหรือผู้อื่น (2) 'ทางสาธารณประโยชน์' หมายความว่า ทางบกหรือทางน้ำสำหรับประชาชนใช้ในการจราจร และให้หมายความรวมถึงทางรถไฟและทางรถรางที่มีรถเดินสำหรับประชาชนโดยสารด้วย (3) 'สาธารณสถาน' หมายความว่า สถานที่ใดๆ ซึ่งประชาชนมีความชอบธรรมที่จะเข้าไปได้ (4) 'เคหสถาน' หมายความว่า ที่ซึ่งใช้เป็นที่อยู่อาศัย เช่น เรือน โรง เรือ หรือแพ ซึ่งคนอยู่อาศัย และให้หมายความรวมถึงบริเวณของที่ซึ่งใช้เป็นที่อยู่อาศัยนั้นด้วย จะมีรั้วล้อมหรือไม่ก็ตาม (5) 'อาวุธ' หมายความรวมถึงสิ่งซึ่งไม่เป็นอาวุธโดยสภาพ แต่ซึ่งได้ใช้หรือเจตนาจะใช้ประทุษร้ายร่างกายถึงอันตรายสาหัสอย่างอาวุธ (6) 'สิ่งพิมพ์' หมายความว่า สมุด แผ่นกระดาษ หรือวัตถุใดๆ ที่ได้ทำให้เป็นข้อความ ข้อเขียน หรือรูปรอยพิมพ์ โดยประเทศพิมพ์ การถ่ายรูป การถ่ายภาพยนตร์ การบันทึกเสียง การบันทึกภาพ หรือโดยวิธีอื่นใดเพื่อเผยแพร่ (7) 'เอกสาร' หมายความว่า กระดาษหรือวัตถุอื่นใดซึ่งได้ทำให้ปรากฏความหมายด้วยตัวอักษร ตัวเลข ผัง หรือแผนแบบอย่างอื่น จะเป็นโดยวิธีพิมพ์ ถ่ายภาพ หรือวิธีอื่นใดอันเป็นหลักฐานแห่งความหมายนั้น (8) 'เอกสารราชการ' หมายความว่า เอกสารซึ่งเจ้าพนักงานได้ทำขึ้นหรือรับรองในหน้าที่ และให้หมายความรวมถึงสำเนาเอกสารนั้นๆ ที่เจ้าพนักงานได้รับรองในหน้าที่ด้วย (9) 'เอกสารสิทธิ' หมายความว่า เอกสารที่เป็นหลักฐานแห่งการก่อ เปลี่ยนแปลง โอน สงวน หรือระงับซึ่งสิทธิ (10) 'ลายมือชื่อ' หมายความรวมถึงลายพิมพ์นิ้วมือและแกงไดหรือแกะสลักอย่างอื่นที่บุคคลทำลงไว้แทนลายมือชื่อด้วย (11) 'กลางคืน' หมายความว่า เวลาระหว่างพระอาทิตย์ตกและพระอาทิตย์ขึ้น (12) 'คุมขัง' หมายความว่า กักขัง คุมตัว ควบคุม หรือขัง (13) 'ค่าทำขวัญ' หมายความว่า เงินที่ศาลสั่งให้จ่ายเพื่อชดเชยความเสียหายแก่จิตใจ สุขภาพ อนามัย หรือเสรีภาพ (14) 'บัตรอิเล็กทรอนิกส์' หมายความว่า วัตถุใดๆ หรือข้อมูลประวัติต่างๆ ที่ผู้รับการออกบัตรให้แก่ผู้มีสิทธิใช้ โดยมอบให้เพื่อประโยชน์ในการชำระค่าสินค้า ค่าบริการ หรือหนี้อื่นแทนการชำระด้วยเงินสด หรือมอบให้เพื่อใช้เป็นหลักฐานในการเข้าถึงข้อมูลหรือสิทธิใดๆ (15) 'หนังสือเดินทาง' หมายความว่า เอกสารสำคัญประจำตัวไม่ว่าจะมีรูป ลักษณะ หรือการเรียกชื่ออย่างใดที่รัฐบาลไทย รัฐบาลต่างประเทศ หรือองค์การระหว่างประเทศออกให้แก่บุคคลใด เพื่อใช้แสดงตนในการเดินทางระหว่างประเทศ (16) 'เจ้าพนักงาน' หมายความว่า บุคคลซึ่งกฎหมายบัญญัติว่าเป็นเจ้าพนักงานหรือได้รับการแต่งตั้งตามกฎหมายให้ปฏิบัติหน้าที่ราชการ ไม่ว่าเป็นประจำหรือครั้งคราว และไม่ว่าจะได้รับค่าตอบแทนหรือไม่ (17) 'สื่อลามกอนาจารเด็ก' หมายความว่า วัตถุหรือสิ่งที่แสดงให้รู้หรือเห็นถึงการกระทำลามกอนาจารของเด็กอายุยังไม่เกินสิบแปดปี โดยอาศัยรูปแบบใดๆ ไม่ว่าจะเป็นภาพ ภาพเคลื่อนไหว เสียง ข้อความ หรือสิ่งอื่นใด (18) 'กระทำชำเรา' หมายความว่า กระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำล่วงล้ำอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น
มาตรา 2,หลักไม่มีความผิดไม่มีโทษโดยไม่มีกฎหมาย,บุคคลจักต้องรับโทษในทางอาญา ต่อเมื่อได้กระทำการอันกฎหมายที่ใช้ในขณะกระทำการนั้นบัญญัติเป็นความผิดและกำหนดโทษไว้ และโทษที่จะลงแก่ผู้กระทำความผิดนั้น ต้องเป็นโทษที่บัญญัติไว้ในกฎหมาย ถ้าตามกฎหมายที่บัญญัติในภายหลัง การกระทำเช่นนั้นไม่เป็นความผิดต่อไป ให้ผู้ที่ได้กระทำการนั้นพ้นจากการเป็นผู้ผิด และถ้าได้มีคำพิพากษาถึงที่สุดให้ลงโทษแล้ว ก็ให้ถือว่าผู้นั้นไม่เคยต้องคำพิพากษาว่าได้กระทำความผิดนั้น ถ้าในขณะนั้นรับโทษอยู่ก็ให้การลงโทษนั้นสิ้นสุดลง
มาตรา 3,การใช้กฎหมายที่เป็นคุณแก่ผู้กระทำผิด,ถ้ากฎหมายที่ใช้ในขณะกระทำความผิดแตกต่างกับกฎหมายที่ใช้ในภายหลังการกระทำความผิด ให้ใช้กฎหมายในส่วนที่เป็นคุณแก่ผู้กระทำความผิดไม่ว่าในทางใด เว้นแต่คดีถึงที่สุดแล้ว แต่ในกรณีที่คดีถึงที่สุดแล้วดังต่อไปนี้ (1) ถ้าผู้กระทำความผิดยังไม่ได้รับโทษ หรือกำลังรับโทษอยู่ และโทษที่กำหนดตามคำพิพากษาหนักกว่าโทษที่กำหนดตามกฎหมายที่บัญญัติในภายหลัง เมื่อความปรากฏแก่ศาลหรือเมื่อผู้กระทำความผิด ผู้แทนโดยชอบธรรมของผู้นั้น ผู้อนุบาลของผู้นั้นหรือพนักงานอัยการร้องขอ ให้ศาลกำหนดโทษใหม่ตามกฎหมายที่บัญญัติในภายหลังนั้น (2) ถ้ากฎหมายที่บัญญัติในภายหลังยกเลิกโทษเช่นนั้นเสีย ให้ศาลปล่อยผู้กระทำความผิดที่ยังรับโทษอยู่นั้นไป
มาตรา 4,ความผิดในราชอาณาจักร (เรือ/อากาศยานไทย),ผู้ใดกระทำความผิดในราชอาณาจักร ต้องรับโทษตามกฎหมาย การกระทำความผิดในเรือไทยหรืออากาศยานไทย ไม่ว่าจะอยู่ ณ ที่ใด ให้ถือว่ากระทำความผิดในราชอาณาจักร
มาตรา 5,ความผิดที่กระทำส่วนหนึ่งส่วนใดในราชอาณาจักร,ความผิดใดที่การกระทำแม้แต่ส่วนหนึ่งส่วนใดได้กระทำในราชอาณาจักรก็ดี ผลแห่งการกระทำเกิดในราชอาณาจักรโดยผู้กระทำประสงค์ให้ผลนั้นเกิดในราชอาณาจักร หรือโดยลักษณะแห่งการกระทำ ผลที่เกิดขึ้นควรเกิดในราชอาณาจักร หรือเล็งเห็นได้ว่าผลนั้นจะเกิดในราชอาณาจักรก็ดี ให้ถือว่าความผิดนั้นได้กระทำในราชอาณาจักร ในกรณีการตระเตรียมการ หรือพยายามกระทำการใดที่กฎหมายบัญญัติเป็นความผิด แม้การกระทำนั้นได้กระทำนอกราชอาณาจักร ถ้าหากการกระทำนั้นจะได้กระทำตลอดไปจนถึงขั้นความผิดสำเร็จ ผลจะเกิดขึ้นในราชอาณาจักร ให้ถือว่าการตระเตรียมการหรือพยายามกระทำความผิดนั้นได้กระทำในราชอาณาจักร
มาตรา 6,ความผิดนอกราชอาณาจักรที่ถือว่าในราชอาณาจักร,ความผิดใดที่ได้กระทำนอกราชอาณาจักรซึ่งเป็นความผิดเกี่ยวด้วย (1) ความผิดต่อองค์พระมหากษัตริย์ พระราชินี รัชทายาท และผู้สำเร็จราชการแทนองค์ (2) ความผิดต่อความมั่นคงของรัฐภายในราชอาณาจักร (3) ความผิดต่อความมั่นคงของรัฐภายนอกราชอาณาจักร (4) ความผิดเกี่ยวกับการปลอมและการแปลง ตามมาตรา 240 ถึงมาตรา 249 มาตรา 254 มาตรา 256 มาตรา 257 และมาตรา 266 (1) และ (2) ให้ถือว่ากระทำความผิดในราชอาณาจักร
มาตรา 7,ความผิดนอกราชอาณาจักรที่ต้องรับโทษในไทย,ผู้ใดกระทำความผิดนอกราชอาณาจักรดังต่อไปนี้ จะต้องรับโทษในราชอาณาจักร คือ (1) ความผิดเกี่ยวกับความมั่นคงแห่งราชอาณาจักร (1/2) ความผิดเกี่ยวกับการก่อการร้าย (2) ความผิดเกี่ยวกับการปลอมและการแปลง (2/ข) ความผิดเกี่ยวกับเพศตามมาตรา 282 และมาตรา 283 (3) ความผิดฐานชิงทรัพย์และปล้นทรัพย์ในทะเลหลวง
มาตรา 8,ความผิดนอกราชอาณาจักรที่ราษฎรหรือรัฐบาลขอให้ลงโทษ,ผู้ใดกระทำความผิดนอกราชอาณาจักร และ (ก) ผู้กระทำความผิดนั้นเป็นคนไทย และรัฐบาลแห่งประเทศที่ความผิดได้เกิดขึ้น หรือผู้เสียหายได้ร้องขอให้ลงโทษ หรือ (ข) ผู้กระทำความผิดนั้นเป็นคนต่างด้าว และรัฐบาลไทยหรือคนไทยเป็นผู้เสียหาย และผู้เสียหายได้ร้องขอให้ลงโทษ ถ้าความผิดนั้นเป็นความผิดดังระบุไว้ต่อไปนี้ จะต้องรับโทษภายในราชอาณาจักร คือ ความผิดเกี่ยวกับการก่อให้เกิดภยันตรายต่อประชาชน ความผิดเกี่ยวกับเอกสาร ความผิดเกี่ยวกับเพศ ความผิดต่อชีวิต ความผิดต่อร่างกาย ความผิดฐานหน่วงเหนี่ยวกักขัง ความผิดฐานลักทรัพย์ ชิงทรัพย์ ปล้นทรัพย์ ฉ้อโกง กรรโชก รีดเอาทรัพย์ รับของโจร และทำให้เสียทรัพย์
มาตรา 9,ความผิดฐานให้หรือรับสินบนเจ้าพนักงาน,เจ้าพนักงานของรัฐบาลไทยกระทำความผิดตามที่บัญญัติไว้ในมาตรา 147 ถึงมาตรา 166 และมาตรา 200 ถึงมาตรา 205 นอกราชอาณาจักร จะต้องรับโทษในราชอาณาจักร
มาตรา 10,มาตราความผิดทางอาญา,ผู้ใดกระทำการอันกฎหมายที่ใช้ในขณะกระทำการนั้นบัญญัติเป็นความผิดนอกราชอาณาจักร ห้ามมิให้ลงโทษผู้นั้นในราชอาณาจักรเพราะการกระทำนั้นอีก ถ้าได้มีคำพิพากษาของศาลในต่างประเทศอันถึงที่สุดให้ปล่อยตัวผู้นั้น หรือศาลในต่างประเทศพิพากษาให้ลงโทษ และผู้นั้นได้พ้นโทษแล้ว
